この際 委員の異動について御報告 いたします , おはようございます
 国会の 運営 については まさに 国会で 委員会で お 決め になる こと だろうと このように考えております , いや 総理の 外 遊 日程 に合わせて 国 対 が 言って くる から 我々は 国会で 決める というのは 理屈 建 前 は 分かります が 実際 は 官邸 に 意向 を確認 しながら やる の が これ 常 ですから それは 建 前の 議論 としては 分かる けれども 総理の 外 遊 日程 が 変わった と 会 期 内に 総理は 帰って こ られる ということ ならば 入 管 法 の審議 を きちっと やる と それは 基本的には 法案 の審議 の要請 をされている 政府 側 ですから 慎重に 審議 をやって ください と 丁寧に 審議 をやって ください ということで 総理 いい ですね
 いずれにせよ 当然 きちっと 審議 を や れる ことになる んだろう と このように思います が いずれにいたしましても 日程 等 については 私は 口 を出す 立場 ではございません ので 委員会 から 求め られ れば 当然 答弁 誠実に 答弁を していきたい と こう 考えております , まあ そういうこと だと思います
お答えいたします , 誰も 個別の 事件 なんか 一切 聞いて おりません
お答えいたします , 刑事 訴 追 された 例 はある かと 聞いている から ある か ない か だけ 答えて もらえ れば 結構です
 技能実習生 の 稼働 状況 に関しまして 刑事 訴 追 になった 例 は あった というふうに 把握 をしております , あった とは 聞いております が 網 羅 的には 把握 を しておりません って 意味 が 分かりません
例えば 技能実習生 に関わる 関係 で 労働基準法 違反 であるとか そういった 労働 法 違反 これで 訴 追 をされた 例 は ございます , 帳 票 が 利用 された とか 利用 されない なんか 聞いていない じゃないですか
 刑事 訴 追 に関しましては 入国 管理 局 の 所管 ではございません ので 私ども では 把握 しておりません , じゃ どこ なら 把握している んですか
 刑事 訴 追 に関する 所掌 は 刑事 局 になろうかと思います , じゃ 事前 通告 しています 失 踪 技能実習生 が 刑事 訴 追 された 例 はある かと 聞いた ら 法務省 が 人数 については 統計 を取って いない ため 把握 していない と 答えて います
 網 羅 的に 把握 していない ということ につきましては 統計 上 明らか で ないということ から そういうふうに 申し上げた ということでございます , 結局 把握 していない んじゃないですか
ちょっと 誤解 がある ような ので 整理 して お答え します , 総理 総理は 本会議 のときに 今 みたいな 答弁 していない んですよ
 技能実習生 の 実習 先 を 労働 関係 法令 違反 で 訴 追 した 例 は ございます , 技能実習 の 失 踪 の件について どうですか
済みません ちょっと 今 質問 の 意味 が 正確に 把握している か 分かりません が 少なくとも その 技能実習生 の 実習 先 を 労働 関係 法令 違反 で 訴 追 した 例 はある ということでございますが 私の ちょっと 受け 取り 方が あれ であれば もう一度 いただければと思います , つまり さっき の答弁 と 矛盾 している んですよ
この 聴取 自体は 先ほど申し上げたように 入 管 法 違反 ということでございます , だから 二 千八百 七十 人は 悪い けど 聴取 票 の や つ は 平成二十九年度 です
お答えいたします , いや いや だから 行政 処分 して 国 外 退 去 になる 可能性 が 高く て なおかつ 本人 が 国 に 帰 り たくない 場合には 最大 六十 日 間の 入国 者 収容 所 とか に入る わけですよね
 論理 的には あろうかと思います , だから 二 千八百 七十 人は 出して も もう 個 票 を出して も 問題 ないんですよ
 申し訳ございません 現在 手元に 数字 を持って おりません , まず 刑事 訴 追 の おそれ はない んです
ですから 個 票 を 出 せない 理由 は 二つ に 分けて 申し上げますと 一つは これは 刑事 訴 追 の おそれ のある 者 から この 情報を 要するに 任意 で そして 公表 を すること を前提と せず に 聴取 した 内容 であり これを 公開 するということは 今後 そういった 調査 に応じ られ なくなる おそれがある これが 一つ でございます , それでも 委員会 に 出して 今 衆参 の 国会議員 が 全部 手 書き で 個 票 を 書いている んですよ
 これにつきましては 国会の 委員会 理事会 の御 決定 でございます , 委員 の皆さんに お配り している それから パネル の三 枚目 御 覧 ください
 法務省 といたしましては これはもう 具体的に 調査 要するに 違法 が う か が わ れる ものについては 調査を するように というふうな 指示 もございます , この 国交省 の 緊急 事業 でも 状況 によって は 失 踪 者 が出る んです
これ 国交省 が どのような 御判断 で 出した か につきましては ちょっと 私 としても 判断 し かね る 部分 がございます , 全く 説 得 力 ない
 結論 から 申し上げる と この 聴取 票 の 性質 上 出す ことは 適当 ではない のではないかというふうに 法務省 としては 考えております , 二十九年度 を出して 過去に ある や つ を 出 せない 国会に 出 せない 理由 はありません
 後刻理事会で協議 をいたします , じゃ 法 施行 後の 失 踪 者は 何人 程度 いる んですか
失礼いたしました , 四 千二百 七 十九 名 非常に 上 半 期 だけ ですけど 現実 問題 としては 新 法 施行 後で も 全然 減って いません
 四 千二百 七 十九 のうち その後 入 管 当局 において 捕 捉 した 者 について 個 票 を このような 聴取 票 を作成 するという 関係 になります , これ 私が 法務省 から 聞いた ところ による と 千 や 二千 は 今 ある と おっしゃっています
この 新 制度 につきましては これは 個 票 のみ で 判断する のではなくて 今 例えば 三 千七百 か所 について ちょうど 実 地 調査を 入って おった り あるいは 例えば その 悪 質 ブ ロー カー を排除する ために 二国間 合意 これを 十 か 国 締結 する そういった 総合的な ところ から 検証 していく必要がある と考えております , 間違って います あなた の考え方 は
 誠に 申し訳ございません , ここに 国交省 こうやって 出している じゃないですか
 福 山 君 時間が来ております , 全く 法務大臣 の 答弁は 説 得 力 はない と この ま ん までは 採決 どころ か 全く 入 管 法 については 不 明確な ま ん ま 審議 も 全く 進んで いない ということを申し上げて 質問を終わりたいと思います
次に 福 山 哲 郎 君の質疑 を行います , 立憲民主党 の 福 山 哲 郎 でございます
 米軍 の運用 に当たっては 地域住民 の方々の 安全確保 は 大前提 であり 事件 事故 は あってはならない と考えています , 二日 後に 飛行 を 再開 しています
 残念ながら 沖縄 に 米軍 基地 の 七割 約 七割 が 集中 する という状況 の中において 今まで も 様々な 事故 事件 が 残念ながら 発生 してきた のは 事実 であります , 総理 今 の話 だと 二日 後の 再開 で よかった という 御認識 ですか
もちろん たった 二日 間 であった という 批判 も できる の であろうと思います が かつて 米軍 に 停止 を 申 入れ を したのは 沖縄 国際 大学 に 墜 落 事故 があって 以来 ずっと 事故 があって も 申 入れ す ら 行って こなかった その 反省 の上 に立って 私たちは 申 入れ を行っております , 恐らく 今の は 事実関係 が違う ので 後で 確か めて いただければと思います
先ほど申し上げましたように 米軍 の対応 については 政府としては コメントを 差し控えたいと思います , 違う 違う コメント じゃなくて 要請 をして もらえ る かと 聞いているんです
先ほど申し上げましたように 沖縄県 の 行政 の 抗議 については 米側 は この 抗議 を受け 話を聞いて いる と承知をしております が いずれにせよ 米軍 の対応 については コメントは差し控え たい と このように思います , 済みません さっき 私 申し上げたように 嘉 手 納 町 議会 の 抗議 を受け ない というのは 初めて のこと なんです
まず 史 上 初めて の 首脳会談 を行った ところでございますが この 共同 宣言 をどう 理解を していくかということ が 重要な んだろう と このように 思う わけでございますが この 中で トランプ大統領 は 北朝鮮 に対して 安全 の 保証 を提供する ことに コミット した ということが 書いてあります が 金 正 恩 委員長 は 朝鮮半島 の 完全 な 非核化 に向けた 自身 の 確 固 たる 揺 る ぎ ない コミット メント を 再 確認した と こう あるわけでございます , だから 質問に答えて ください
この 手 応え かどうかということ でございますが 完全 な 非核化 ということについては 当然 これは C V I D ということ であるというふうに アメリカ は 理解を しているわけであります , 総理 今 大分 いい ところまで お答え いただいた んですけど トランプ大統領 と の やり取り の中で 詳細 は 河野 大臣 と ポ ン ペ オ 国 務 長官 の中では 四十七 項目 ある と
私 と トランプ大統領 と の 電話 会談 の中身 について 詳細 については 申し上げる ことができない の でございますが できない の でございますが この 言わば 委員が 言われた ような 四十七 項目 についての 一 々 の説明 はもちろん 大統領 と 私の 間 ではございません , 普通 総理大臣 と 大統領 の話 も 余り 中身 言わない んですけど 河野 大臣が 余りにも ポ ン ペ オ 国 務 長官 と の 内容について 詳しく お話し される ので 確認 をさせていただきました
 ず う っと 私も この問題 に 関わって まいりました がどう 対応 してきた かということは 十分 承知 をしている つもり でございます , そこは 理解を します が ただ 逆に 一定の シ グ ナ ル がある から こそ 総理は すぐに 日 朝 首脳会談 というような話 が 出てきている のではないかと 期待 したいと思います
お答えいたします , 質問に答えて いただきたい
私ども 証人 喚 問 について コメントを する立場 に ございません けれども 私ども 調査 報告 をさせていただきました その 報告書 につきましては パネル の 右 側に 概要 だけ か いつ ま んで 書いてあります けれども そのとおりでございます , ということは 証人 喚 問 と 調査 報告書 は 違う ということ だということを 認めて いただいた もの だと思います
これも 先ほど と同じ ですけれども 右 側の パネル に 書いて おられる のは 報告書 の 概要 でございますけれども 報告書 につきましては 十五 ページ に 書いてある とおりでございます , ということは 報告書 以外の こと の コメント は しない 証人 喚 問 の発言 については コメント しない ということだと思います
 後刻理事会で協議 をさせていただきます , 非常に 重 たい こと だというふうに思います
 電話 が 主体 であった と承知しております , メール は ありませんか
今 手 元 では 分かりません けれども メール もあった かもしれません , あなた 二 週間 徹底 的に やっている の に 何で メール か 電話 か ヒアリング したもの が 分からない んですか
御質問 いただいて おりませんので 手 元 で お答え が できません けれども 電話 で やった の が 主体 であった と思います , だって 報告書 に メール って 書いてある じゃないですか
 後刻理事会で協議 をさせていただきます , 総理の 例 の 辞 める 発言 が 国会で の 辞 める 発言 が 起 点 となって 対応を 協議 を 始めた ことに この 報告書 は なっています
それは この 五十 ページ にわたる 報告書 全 編 を通じて 書いて ございますけれども 総括 のところで 三十 四 ページ から 三十 七 ページ に るる 書いて ございます , その 国会 が 紛 糾 したり することを 泣 き 言 を 考え ながら やった と
 報告書 に 書いてある とおりでございます , ちゃんと 答えて
 報告書 に 書いて ございますけれども 総理 答弁 があって 以降 調査を 始めた わけですけれども 調査 につきましては 答弁 の 後 本省 が 近畿財務局 に 調査 をして それが 昭 恵 夫 人 御本人 からの 照会 も なかった し そしてまた 夫 人 付き からの 照会 は 一度 あった けれども 中身 に 問題 はなかった というところで 一旦 終わって おりまして しか る に 二月 二十一日 ですか 国会議員 団 の 現地 視察 等々 ございまして それ への対応 といった ところ から 誤 った 対応 が 始まった と認識しております , 何で 問題 がない の に 国会議員 団 が 来る と 廃棄 しなきゃいけない の
私ども の報告 の中では それ があった から 廃棄 をした という 結果 には なって おりません , じゃ 何 だから 廃棄 した の
 報告書 の三 十七 ページ に 書いてある 総括 の部分 だけ ですけれども 読ませて いただきます と 元々 の 決裁文書 は 本省 ......( 発言する者あり ) いや 短い ので 済みません , いや いや だから 必要 でない 情報が 多く 含まれている 改ざん 後の 文書 決裁 の 本質 的な 内容 が 変わる ものではない と 決裁 を した後 だから ね 当然
 報告書 十五 ページ に 書いて ございます とおり 先ほども 答弁 いたしましたけれども 総理 夫 人 御本人 からの 照会 は ないこと や 総理 夫 人 付き から 本省 理財局 に 照会 があった 際 の 記録 は 作成 し 共有 している が 内容 は 特段 問題 となる ものではない ことを 確認した となっております , だから じゃ 何で 改ざん した のか が 全く 分からない
御指摘の 文書 でございますが その 作成 経緯 や また 記載 内容 につきまして その趣旨 等 把握 を しておりません , 国交省 この 文書 は 国交省 が 財務省 からの 聞き 取った メモ という認識 でいい んですね
お答え申し上げます , また も や 怪 文書 扱い です
次に 福 山 哲 郎 君の質疑 を行います , 立憲民主党 の 福 山 でございます
 もし 私たち が 野党 であれば しっかりと 真 実 が 何か ということについて それを 見 極めて いく んだろう と このように思います , 今 野党 なら 真 実 を 明らかに していく そう おっしゃいました
 仮定 の質問 には お答え することは できません , 総務省 にお伺いします
お答え申し上げます , 分かりました
お答え申し上げます , 適切に 管理 されて 作成 されている ということは 一般的に 言えば 事実 が 書かれている と 解 して いいですか
お答え申し上げます , だから 事実 が 一般的に 書かれている と 解 して いい かと 聞いている んだから イ エ ス か ノー か で 答えてください
お答え申し上げます , 事実 を含む と 言われました
 自治体 の作成 した 文書 について 言わば 政府の 長 として 総理大臣 として コメントする 立場に はございません , 違う 行 政府の 長 だから コメントする 立場 にある んです
要するに 総務省 としての 見解を まさに 政府として 出 しているわけであります , 総理が じゃ 否定 をされている 面会 の 事実 以外の ものは 適切に 処理 されている 事実 を含む ということでよろしいですね 今の 見解
今 まさに 総務省 として また 政府として お答え できる のは 一般論として お答え する わけでございますので 今 愛媛県 の ということで おっしゃっている わけでございます から それ については お答え できない ということでございます , じゃ 一般論として 復 命 書 は 事実 が 書かれている 適切に 処理 されている ということでよろしいですね
 一般論 については 今 総務省 から お答えしたとおり でございます , 愛 媛 だけ 別 扱い という わけではない と思いますので 適切に 処理 されている と考えます
全く ございません , この コメント は 学校 法人 の 誰 から 誰 の責任 で 発出 された か 全く 不明 です
 二月 の 二十五日 について 会 食 がない ということは もう 明らか だろうと このように思います , この 前後 です
 既に 国会で も 答弁 をさせていただいております が 前 年 の 十二月 と その後 の 四月に 会 食 をしている それは 既に 外 に 出 されていること でございます , その 会 食 とは 到底 日程 的には 思って いない の ですが これを あえて 加計学園 の コメント にも 出 されていない の が 私は 非常に 不思議 に 思います
まず 加 計 理事長 とは 獣医学部 新設 について 話 は した ことはございません , つまり これ 面会 も 首相 動 静 で 否定 をされている だけ 電話 は 否定 を されていない
 柳瀬 元 秘書官 は 既に 参考人 として 誠 意 を持って お答えを した と こう思っております , おかしい でしょう
今委員 の 推測 を基に 私は お答え することは できません , だから 推測 では 答えて いただけない ので 加 計 孝 太郎 氏 さらには この 柳瀬 さん と 愛媛県 今 治 の皆さん を 呼んで しっかり お伺い しないと 証人 喚 問 も含めて やらない と 真 相 は 晴 れない と思います
それは 事実関係 について 私が 間 違った ことを 言わない ように 念 のために メモ を 入れる ことは 秘書官 があります から その 秘書官 に対して そんなに 激 しい 言葉 で 言われた ら 仕事 自体が 萎 縮 します から ということでございます , だって 会 って も いない 会合 を 会 った と言われて それを 秘書官 に 全部 報告 されていた んですよ それ を前提に
そもそも 伝 聞 の 伝 聞 である わけでありまして それは 今治市 長 もそう 言われている わけでございます , 全く 分からない です
 福 山 君 指名 していません , う その 報告を 愛媛県 と 今 治 にして 官邸 や 各 役所 も 動か そう とした わけです
 質疑 者は いいですか 指名 を受けて から ちゃんと 質疑 してください , 失礼 しました
これは 言わば 透 明 な ルール にのっとって これは 民間 委員の 座長 である 八 田 座長 も おっしゃっている とおり プロセス には 一点 の 曇 り も ないという 中において という 中において ですね 申請 が 認められ そして 申請 については まさに 極めて 独立性 を持った 委員会 が この 申請 を受けて 認可 をした と承知をしております , いや 総理 違う んですよ
 設置 認可 の基準 について 偽 り があった ら 駄目 な わけでございます , もう一回 読み ます ね
そもそも これは 先ほど申し上げました 今 治 の 市長 も おっしゃっている ように これ 伝 聞 の 伝 聞 を 書いた ということで あるわけでございます , もう 伝 聞 の 伝 聞 とか 何を 言っている んだ か さ っ ぱ り 分かりません
まず は ですね まずは よく 聞いて いただかなければ これ 真 相 には 近 づけ ない んですから , 全く 私の質問 に 答え られ ませんでした
 参考人 の皆さん方 証人 につきましては それぞれ 個人の 名前 を 申し上げて ください , 安倍 昭 恵 総理大臣 夫 人 谷 総理大臣 付き 迫 田 近畿財務局 長 柳瀬 総理 秘書官 藤 原 地方創生 推進 室 次長 加計学園 理事長 渡 邉 事務 局長 愛媛県 中 村 知事 担当者 今 治 担当者 以上 です
 後刻理事会で協議 をさせていただきます , もう 時間が なくなりました
まだ 指名 しておりません , あっ 済みません
お答え申し上げます , 太田 局長 この 廃棄 した と 重 ね た 答弁 それから 金額 の 提示 は しなかった という答弁 それから 安倍 晋 三 記念 小学校 の話 について 全く 承知しておりません でした 近畿財務局 は という答弁 これ 交渉 記録 を 見れば 全部 虚偽 だった ということは お認め いた だけ ます ね
お答えをいたします , この 廃棄 については 一体 いつ 誰が どのような 経路 で どのような 範囲 まで 指示 を 出された のか お答えください
昨年 二月 下 旬 から 四月 にかけて 決裁文書 の 書換え を行って いた こと に合わせて そういうこと を行って おりました , 冒頭 申し上げたとおり 調査 で 何でも 先 送り します
 速やかに というところで 終 わ ろう という わけ にも いかぬ のでしょうか ら , ありがとうございました
終わります , おはようございます
 御指摘いただきましたように 世界の 視 覚 障害者 の方々 にとって 利用 可能な 著 作物 が 引き続き 不足 している ことは承知をしております , 是非 答弁 だけではなく 実態 として よろしくお願いしたいと思います
 EU 加盟 国 につきましては EU と EU 加盟 国の いずれ に 本 条約 を 締結 する 権限 があるのか についての 欧州 司法 裁判所 の 判断を 待って いた と承知をしております が 昨年 二月 欧州 司法 裁判所 が この 条約 については EU に 専 属 的な 権限 があると 判断 をいたしました , アメリカの 状態 について 詳しく 御説明を いただき EU の 状態 についても 御答弁 いただいて ありがとうございます
 アメリカ が これに 加 わ る かどうか 英語 の 出版 物 に関しては やはり アメリカの 影響 というのは非常に 大きい と思いますので ここは しっかりと そうした 形で 働きかけ を していきたいと思います , よろしくお願いします
お答え申し上げます , ありがとうございます
 四月 十六日 の 夜 に 小 西 参議院 議員 に対して 現 職 自衛官 が 路 上で 不適切な 発言 を行った 件につきましては 小 西 議員 に対して 大変 不 快 な 思い をさせて しまって おり 改めて おわびを申し上げ ます , 私は 随分 言葉 を 選 んで 御質問 をさせていただいた つもり ですが まあ 同じ 答弁 しか されない ことは 非常に 残念 に 思います し 早く その 調査の結果 を 待ち たいと思います が 実際 は 警察 も 入って 恐らく 調書 等 も 取 られている と思いますので そのこと も含めて 非常に 神 経 質 な 問題 だと思います けど その 中身 だけではなくて 今 この 現状 の シ ビ リ アン コントロール に 国民の 不 信 感 が 高 まった り 自衛官 の それぞれの 思い に対して 今の答弁 では 私は 防衛大臣 の 何 というか な 指導 力 というか 非常に 残念 に 思います
委員御指摘の いわゆる 日報 でございますが 現在 昨年 八月 改正 した 防衛省 文書 管理 細 則 におきまして 行動 命令 に基づき 海外 に 派遣 された 部隊 が 作成 しました 日報 につきましては 一 元 的に 管理 に 責任 を有する 者は 統合 幕 僚 監 部 参事官 というふうに いたしまして 現在 その 集約 作業 を行って ございます , あの ね 何回も 答弁 同じ している 答弁を 国会で 何回も 同じように しない で ください
 いずれにせよ 防衛省 に 存在 しています 日報 につきましては 四月 二十日 までに 統幕 参事官 に 報告 し 届け る ように と言って ございます , つまり この 答弁 も 要は これまでの 日報 についての 防衛省 の 答弁を 見ている と 全く 信用 できない ということ なんですよ
 具体的な こと まで 踏み込んで 質問 させていただく つもり でした が 時間が来ましたので この 続き は 次回 や らせていただきます , おはようございます
 我が国として ア サ ド 政権 は 化 学 兵 器 を 使用 する 能力 を有している と 認識 をしておりまして 米国 等の 措置 は 化 学 兵 器 使用 の 可能性 を 低下 させる ための 措置 であった というふうに認識をしております , 今の 大臣の 表現 非常に 微 妙 な 表現 なんですけど 化 学 兵 器 の使用 の 能力 を有する 可能性 を 低減 させる という 御理解 だということ は その 今回の ダ マ ス カ ス 近 郊 で の 化 学 兵 器 使用 の 疑惑 についての 攻撃 という認識 ではない ということですね
 ア サ ド 政権 が 化 学 兵 器 を これまで 使用 してきた そして 使用 する 能力 を有している それに対して アメリカ イギリス フランス の 措置 は 化 学 兵 器 使用 の 可能性 を 低下 させる ための 措置 であった と認識をしております , それ 結構 重要な んじゃないですか
 アメリカ イギリス フランス の 化 学 兵 器 を 使用 を 断 じ て 容認 しない という 決意 を 支持 したわけでございます , いや 少し 驚 き なんですね
 シリア 情勢 について アメリカ あるいは イギリス フランス と 様々な やり取り をしております が 具体的に その やり取り の 詳細 について 公 の場で 申し上げる のは 控え たいと思います , さらに 前回の 質疑 の中で 外務大臣 は O P C W の調査 が行われ 事実 解明 に向けて そうした 調査 等 が行われて おりますので 早 急 な 真 相 究明 を 期待 したい という御答弁 を いただいています
 O P C W の調査 団 が シリア 入り した というところ は 確認 が できている と思いますが 実際の 現場 に 入れる かどうか これは 今 様々な やり取り が まだ 行われている 段階 ではないか というふうに思います , ということは 日本政府 の 認識 より もう 報道 の方が 早い ということですね
これまで シリア の中 における 化 学 兵 器 の使用 の 確認を したのは O P C W と 国連 の 共同 調査 メカニズム J I M でございますが 残念ながら J I M の マン デ ート の 延長 を 日本は 安保理 で 提案 をいたしました が 安保理 で 否 決 をされております , ということは 予防 措置 のために 武力攻撃 をした ということになります
 日米 首脳会談 につきましては 安倍総理 は 本日 から 二十日 まで 米 アメリカの フ ロ リ ダ 州 の マー ラ ・ ラ ゴ を 訪問 いたします , いや 済みません ゴルフ の 予定 はありますか 確認 させてください
 夕 食 会 や ゴルフ を含めて く つ ろ い だ 雰囲気 の中で 話 し 合う ということを 予定 しておるところでございます , ということは 予定 がある ということですね
 ゴルフ をやっている 時間 安倍総理 トランプ大統領 極めて 親 密 に 長い 時間 共有 する わけです し その さ な か で 様々な ことも 話合い ができる これは 今まで アメリカ でも 日本 でも そういうことを やって おりました ので そういうこと も こういう 状況 ですから よろしい かと思います , シリア 情勢 は 緊 迫 して 国連 も 緊 迫 しております
 日報 につきましては 基本的に 派遣 された 部隊 が 上 級 部隊 に対して 報告 するもの でございますが 当然 その 中の 日報 その ものではない かもしれませんけれども その 中の 非常に重要な 要素 つまり 防衛 庁 当時 は 防衛 庁 長官 でございますけれども そうした 政治 指導 者 も含めて 上 層 部 に必要な 情報 については きちっと 御報告 申し上げた ということでございます , 必要な 情報 等 と 言われます が その 必要な 情報 等が 何 なのか 日報 の中身 のうち の 何を 伝え た上で これを 延長 した のか これ 当然 基本計画 の中には 何らかの 戦闘行為 が行われた 場合には 撤 退 も含めて 議論 すると あるわけですから そこに ちゃんと 議論 に 俎 上に この 日報 の 存在 と 内容 の 存在 が 上がっている のかどうか というのが シ ビ リ アン コントロール 上 も 隊員 の 安全確保 上 も それから 法 的に ちゃんと 活動 している か についても 非常に 私は 重要な 要素 だ というふうに思っている んですけど 今 非常に 鈴木 さんは 微 妙 な 表現 をされました
 福 山 君 終わり ですか , もう 終わります
時間が 来た ので 終わります , おはようございます
 シリア の 首都 ダ マ ス カ ス の 近 郊 東 グ ー タ 地区 におきまして 化 学 兵 器 が 使用 された 空 爆 が行われ 多数 の 市民 が 死亡 しているという 各種 情報 に 接 して 深く 憂 慮 しております , 済みません 私 の質疑 に 今 の問題は 御答弁 それで 結構です が アメリカの 攻撃 の 蓋 然 性 を どの程度 見て おられる のか また 国連 で の ロシア の 拒否 権 の 発動 それから 英 仏 の動向 について 大臣は どのように 今 状況を 御 覧 いただいている のか 教えて いただければと思います
