御異議ないと認め ます , 立憲民主党 ・ 民 友 会 の 蓮 舫 です
 今後 は 情報公開 請求 を受けた 東京都 が 答申 を受けて どのような 対応を するのか まずは 注視 してまいります , 何 度 聞け ば 分かります
 何が どこまで あるのか 確認 させていただきます , 確認 して その結果 を すぐ この委員会 に 出 していただきたいと思います
そう させていただきます , 公文書管理法 は 公文書 は 国民 共有 の 財産 だと
その 件 については 確認 させていただきたいと思います , さっき 公表 している と言った の は何 なんですか
 そういったこと も含めて 資料 については 十分 確認 させていただきます , 分 から なくて 答弁 された んですか
 大 枠 合意 が 決め られた 資料 については 公表 されております , それは 私 資料 で 添付 しています
 千七百 二十 五億円 につきましては 新 国立 の問題 と パ ラ 経費 と それに パ ラ 経費 以外の 部分 日本 選手 強化 費 セキュリティー 対策 ド ー ピ ング 対策 等 でございます , 八 千 百億円 が 会計検査院 から オ リ パ ラ 関連 予算 と 指摘 されました
 あくまでも 千七百 二十 五億円 については 新 国立 と パ ラ 経費 と それ以外の オ リ パ ラ 関係 予算 でございます , それ以外の オ リ パ ラ 関連 経費 で オ リ パ ラ 関連 予算 とした ものと そう じゃない と 外 したもの の基準 がある はず です
 A は 大会 の 準備 運営 に 特 に資する ものとして B と C は 本来 の 行政 目的 が 別に あるもの というふうに 区別 しております , 済みません A って 何 ですか
 A というのは 先ほど お話し しました 新 国立 のところ と パ ラ 経費 と 大会 の 準備 運営 等に 特 に資する 事業 でございます , 会計検査院 報告 の 指摘 を踏まえた 調査結果 について A B C と 区 分け をしました
 サイバー攻撃 複合 防 御 モデル ・ 実習 演 習 は 行政機関 や 民間企業 等を 対象と した 幅広い サイバー セキュリティー 対策 の 演 習 プログラム であり 組織 委員会 を 対象と する サイバー コ ロ ッ セ オ は その 一つの メニュー として 実施する ものであります , 金額 でいうと これは 資 する んですか オ リ パ ラ 関連 予算 に
 組織 委員会 を 対象と する 事業 であります , いや 先ほど 大臣 自ら おっしゃった じゃないですか
 執行 の結果 特定 するもの です , 平成二十八年度 七億円 の予算 のうち 九 千七百 万円 が 平成二十九年度 十四 億 の予算 のうち 六 千七百 万円 が オ リ パ ラ 大会 に向けた サイバー セキュリティー の 人材育成 予算 です
 小型 家 電 リサイクル 制度 を活用する メ ダ ル プロジェクト に関わる 広報 業務 は 小型 家 電 リサイクル の推進 に向けて 従来から 実施 している 広報 業務 の一環として 実施 している ものであります , メ ダ ル プロジェクト は 去年 から 始まった もの です
 メ ダ ル プロジェクト の 広報 普及 は 小型 家 電 リサイクル の 普及 促進 のため 従来の 業務 の一環として 実施 している ため オ リ パ ラ 関係 予算 に 計上 して おりませんでした が 当該 事業 額の 算 出 が可能 であった ため 大会 の 準備 運営 に 特 に資する 事業 として 区別 いたしました , 会計検査院 から 指摘 をされて オ リ パ ラ 事務局 が 新たに 関連 予算 だと したのは 僅 か 三つの 事業 しかない んです
 内閣官房 が 所管 する 当該 事業 については 緊 迫 する テロ 情勢 を踏まえ 我が国 における 国際 テロ の 情報収集 ・ 集約 体制 の 抜本的 強化 が必要である と の 認識 の下 平成二十七年 十二月 国際 テロ 情報収集 室 国際 テロ 情報収集 ユ ニ ット 等 を設置 するなど 東京 大会 の 開催 を 控え 各国 治安 情報 機関 との関係 強化 を始めとする 情報の 収集 集約 に 取り組んでいる ものと承知をしております , いや 今の答弁 聞いて も まさに オリンピック のための 予算 じゃないですか
 当該 事業 については 東京 大会 に限らず 厳しい 国際 テロ 情勢 等 を踏まえて 継続的に 実施 していく べき 事業 であり 大会 招致 を前提に 新たに 又は 追加 的に 講じ る 施策 と の オ リ パ ラ 関係 予算 の要件 に該当し ない ため オ リ パ ラ 関係 予算 として 整理 していなかった ものであります , 政府は 平成二十九年 十二月 二〇二〇年 東京オリンピック 競技 大会 ・ パラリンピック 競技 大会 等 を見 据え た テロ 対策 推進 要 綱 を 作 りました
 大会 に資する 面 は ありますが それだけ に 限 られない 事業 である ため オ リ パ ラ 関係 予算 とは 整理 されていない と 理解しております , 会計検査院 が 二 百八十 六 事業 八 千 十 一億円 が オ リ パ ラ 関連 予算 だと 指摘を した の が 今年の 十月 です
 予算 だけではなく 支出 とか そういった 面で も 検討していく ということでございます いく 予定 でございます , じゃ もう一つ 伺います
 オ リ パ ラ 関係 予算 は 平成二十八年度 から 三十年 度 までの 三年間 予算 ベースで 集計 した 金額 である 一方 会計検査院 が 集計 した 金額 は 平成二十五年 から 二十九年度 までの 国の 予算 以外の 財源 を含む 五年間 の 支出 額 となっております , 平成二十五年 から カ ウン ト した 方がいい のか 平成二十八年 から カ ウン ト した 方がいい のか 納税 者 である 国民に は どちら が 親 切 だと思います か
 今後 は 二十五年 からの 支出 に合わせて 取り 扱 った 方がいい と思っております , 初めて 真っ 当 な 答弁 が 返 って きました
 年 明 け を目指して 次の 公表 のとき まで お示し させていただきたいと思います , 次の 公表 って 何 ですか
 お 時間 ですので まとめてください , 私の質問 時間 の ほとんど を 大臣が 答え られ なくて 後ろ を聞いて 答弁 者は 大臣 じゃない じゃないですか これ じゃ
時間 です , とても 大臣 に資する 人 ではないということ が よく 分かりました
速記を起こして ください , 立憲民主党 の 蓮 舫 です
 生産性 という言葉 をどう 使う か いろんな 議論 がある ところ な んでしょう けど 子供 をつくる か つく らない かということ に関して 生産性 という 概念 を 当てはめ る のは 間違って いる んだろう と このように考えております , 自民党の 杉 田 議員が 月 刊 誌 新 潮 4 5 が 廃 刊 となる きっかけ となった 寄 稿 L G B T の カ ップ ル は 子供 を つく らない 生産性 がない 税金 を そこに 使う ことが いいのか と これ 書 かれ ました
御指摘のとおり L G B T と言われる 性 的 少数 者 に対する 不当な 差別 や 偏 見 は あってはならない ことであります , 安倍総理 は 総裁 選 の間に この件 について 問われ ると まだ 若い ですから これから 注意 しながら 仕事を していって もらいたい
今 申し上げましたように 内閣 与党 野党 を 問 わ ず 国民 から 選ば れた 一人一人 の 政治家 は 自身 の発言 で 関係者 を 傷 つけ ること のない よう 細 心 の 注意 を 払わ なければならない , 答えて いません
 答え ている と思いますが 自身 の発言 で 関係者 を 傷 つけ ること のない よう 細 心 の 注意 を 払わ なければならない と , 細 心 の 注意 がなかった
 存じております , そして 杉 田 議員 本人 が ようやく 記者 の 取材 に 答え た のは 寄 稿 して から 三 か 月 後の 十月 二十四日
それは 御本人 が 説明 していること なんだろう と思いますが 党 として の考え方 は 既に お示し をしている とおり です , 世の中 に 待機児童 なんて 一人 も いない 待 機 しているのは 預 け たい 親 でしょう S N S に 何度も 発信
まあ 私 とは 意見を 異 に します , 総理 いかが お考えでしょうか
その 発言 について 私 確認 している わけで ございませんので ......( 発言する者あり ) いや いや それを 私自身 が 確認 させていただいて おりませんので コメント の しよう はございません が それが 事実 である とすれば 今 根本 大臣が 答弁したとおり であります , 事実 を 私は 調べて 今 御紹介 を させていただいています
 処分 するかどうか ということは 党 で 判断を していくこと でありますが 先ほど申し上げたとおり 自身 の発言 が どういう 影響を及ぼす かということ に 常に 細 心 の 注意 を 払って いく べき だろうと このように思います , その 程度の 認識 という の に 愕 然 と いたします
お答えいたします , いや よく分からない
 新たな 受入れ 制度 についてお尋ね ですので 今回の 新たな 受入れ 制度 については 特段 の 技術 技能 知識 又は 経験 を 必要 と しない 労働 に従事する 活動 を行う 外国人 を 受け入れる 政策 ではない ということでございます , 二 ページ に 資料を 付け させていただきました
これは 今後 政府 基本方針 において 検討 しよう ということ ではございますが 現段階で 例えば 業務 を 遂行 する に当たり 監督 者の 指示 を 理解 し 業務 を 遂行 することができる 又は 自ら の判断 により 業務 を 遂行 できる 能力 というのが これ に該当し ますが この 技能 に 達 するために やはり 相当 期間 の 実務 経験 など を有する 者 というものを 考えております , いや 全然 分かりません
 それぞれの 業種 受入れ 分野 ごとに 業 所管 庁 が 定める 試験 等 において 確認 されるもの でございますが 先ほど申し上げたように やはり それぞれの 分野 業種 において 業務 を 遂行 する に当たり 監督 者の 指示 を 理解 し 的確に 業務 を 遂行 することができる 自ら の判断 により 業務 を 遂行 することができる 能力 そして それを 取得 する には 相当 期間 が 要 るということ これについては 業 所管 省庁 と 緊 密 に 連携 を 連絡 を取り 合 った 上で 今後 決めていく ということになる と思います , 全く 分かりません
 御 通告 ありませんでした ので 今 詳しい 資料 が 手元に ない の ですが ただいま 検討 しているところ ではないか というふうに思っております , 閣議決定 をして それに サ イン を され 今後 基本方針 を 決定 して 業種 を 各 担当 省庁 が 決めていく んです
 宿泊 業 の中の 相当 程度の 技能 ということ か と存じます が それ については 現在 検討 しているところ か と存じます , 何を 検討する んですか
 ベ ッド メ ー キ ング が 該当 するかどうか は 今 ちょっと 手元に はっきり お答え できる 資料 はない の ですが 宿泊 業 として 求められる 相当 程度の 技能 ということを 全体 的に 検討 している という状況 であります , 宿泊 業 として 求められる 相当 程度の 技能
 御 静粛に , 済みません
 全般 的に 業種 横断 的な 技能 レベル について これについて 先ほど申し上げたように 一定の 専門性 技能 を有する 業務 ということを 決めていく , 法務大臣 は 各省庁 が 今 検討 している と言う 例えば 国 交 大臣に 聞いた ら 全く 分からない と言う
 今の段階で は 検討 精査 をお願い しているところであります , 相当 程度の 技能 水準 は 検討 が 終わって から 法案 審議 が 始まり ますか
まず この法律 の 立て 付け として その 法律 が 認める 在留資格 の大 枠 が 決 ま ら なければならない そして それ に基づいて 政府 方針 が 決 ま ら なければならない その 政府 方針 に基づいて 分野 別 方針 が 決まる という 論理 的な 順 序 になっております , 在留資格 の大 枠 こそ が どの 分野 どの 業種 で 働く か ある程度 の 技能 かということ に 当てはま る んじゃないですか
これは 入 管 法 に 定める 在留資格 の仕組み 規制 の仕方 について 御理解を 賜 り たい んですが この 入 管 資格 全体 について 具体的な 内容 というのは 省令 に委ね ている ところであります , どの 分野で どういう 仕事 に 就 いて もらう か が 分からない
 分野 につきましては 閣議決定 されました 法案 において 人手不足 人 手 の確保 が必要な 産業 上の 分野 ということであります , 近 日中 とは いつ ですか
これは 近い うち に ということも 言われた わけですけれども これは 法案 の審査 に資する ように しっかりと 出 していきたい というふうに考えております , 人手不足 の実態 と 需給 バランス を まず お示し ください
 有効 求 人 倍 率は 毎 月 発表 しています から 全体 でいえば 今 一 ・ 六 四 だ し そして 業種 別の 有効 求 人 倍 率 も それぞれの 分かる 業種 で 有効 求 人 倍 率は 計算 されております , いや 人手不足 の 人数 は この 業種 で これ ぐらい で そして 四 万人 上限 は 近 日中 に 示 す これだけ の 人を 入れる んだという 見通し が ないと この法案 審議 できない と思います
 需給 バランス の数 というのは 有効 求 人 倍 率 がある わけですよね 有効 求 人数 と 有効 求 職 者数 , いや 私は 有効 求 人 倍 率は 理解 しています
 具体的な 数字 と 言われ れば 業種 分野 別の 今 突然 の 通告 なし の御質問 なので 個別の 数字を つまり 有効 求 人 倍 率 から 逆 算 される わけですから 人手不足 というのは , 委員長 今 資料を 出 します とおっしゃいました ので 今日 に でも あ した に でも この 人数 の 需給 バランス の数 を出して ください
 後刻理事会で協議 をいたします , 法案 では 条文 で 人手不足 が 解消 された ら 新たに 資格 の認定 を しないと ある
失礼いたしました , どんな 制度設計 ですか
 これについて いずれにせよ 日本人 の 雇用 について 影響 しない ように 人手不足 の状況 を 注視 する , いや その 業種 で 労働 力 が 余 剰 になって も 既に 雇用 期間 の 残っている 外国人 労働者 が いた 場合 日本人 の 雇用 に 影響 する じゃないですか
まず そもそも 人手不足 の 算定 これは 関係 業 所管 省庁 と 私 法務大臣 が やらせて いただくこと になる んですが その際に 人手不足 の やはり 推計 というものを やはり きちんと 求めて いきたいと思います , 雇用 期間 が 切れ たら お 帰 り いただく という 説明 は 聞いて いません
 この問題 経済 財政 諮問会議 で 議論 して その上で 今 法務省 の方に 法案 を作成 し 各省庁 で 行っております ので , 一 見 答え ている よう で 何 にも 答え ない んだったら 答弁 に 立 た ない で ください
 考え方 については 今 申し上げました , この件 に関して 安倍総理 は 特に 強調 するのが 移 民 政策 ではない と
 移 民 という 定義 はもう 多 義 的な ものでありまして 特定 の定義 がある わけで ございません が 言わば 私どもが 申し上げている ことは 現在 深刻な 人手不足 に対応するため に 現行の 専門的 技術的 分野 における 外国 人材 の 受入れ 制度を 拡充 し 真 に必要な 分野 に 限り 一定の 専門性 技能 を 有 し 即 戦 力 となる 外国人 を 受け入れる ために 設け る 在留資格 特定 技能 一号 について 在留 期間 が 通 算 五年 に 限られて おり これ を超えて 更新 する ことはできない というもの をつくる また 特定 二 号 も つくる わけでございますが 言わば 生産 年齢 人口 が 減少 していく 中において それを 埋め る ために 期間 を 設け ず あるいは 家族 も 帯 同 で 受け入れる という いわゆる 移 民 政策 は 取 らない ということであります , 総理は 期限 を 付 して 我が国 に 受け入れる から 移 民 ではない と 国会 等 では 何度も 答弁 している の ですが 国連 の 広報 による と 三 か 月 から 十二 か 月 の 移動 を 短期 的 又は 一時 移 住 一年 以上 にわたる 居住 国 の変更 を 長期 的 又は 恒久 移 民 と 呼んで 区別 するのが 一般 的 と 説明
例えば 半年 から 一年 とかいう ことになります と それに 定めている それは 例えば 私も かつて 一年 ちょっと 駐 在 したこと ありますが そうすると 私も 移 民 になってしまう わけですよね , 総理が 思っている 移 民 と 一般 の方が 思っている 移 民 は 違う とおっしゃった
いや 私の 思っている 移 民 と 一般 の方が 思っている 移 民 が違う という のではなくて 今 例 として 皆さん 御理解 いた だけ ました よね , そもそも 日本 に移 民 は いない んですか
それは 移 民 を 委員が どういうふうに 定義 するか による んだろうと思います , 国民が 懸念 する 移 民 と は何 ですか
その 例 として これまで 例えば 国民の 人口 に 比 して 一定程度 の 規模 の 外国人 及び その 家族 を 期限 を設ける こと なく 受け入れる ということで 国家 を維持 していこう とする 政策 これ を取る ことは 考えて いない ということでございます , 私の 父 は 台湾 人 です
 蓮 舫 委員の 御家族 の 歴史 については 大変 敬意を表 する ところでございますが 移 民 という言葉 については 定義 が ございません , やっぱり 外国 の方に 入って きて いただいて 働いて いただく 外国人 労働者 という言い方
まさに 蓮 舫 委員御指摘のとおり でございまして これは 移 民 の定義 による ものではありません , や たら と 移 民 という言葉 を 否定 する から この法案 は 一体 どんな 日本の 社会 を つく ろう と しているのか が なかなか 理解 が 深 まらない んですね
 そのような 説明 をさせていただいた こと自体 事実 でございます , 入国 の 時点で 永 住 権 を有する 者
今 お尋ね は 我が国 において ということでしょうか , 今 大臣が 言った 三要件 の 大前提 が 継続 して 十年 以上 日本に 暮らし ている こと です
 大前提 ということで はありません , そうな ると 自民党 が 永 住 権 の説明 で 入国 の 時点で 永 住 権 を有する 者が 移 民 というのは 間違って います ね
 若干 整理 させていただく と 今申し上げた 永 住 の定義 は 我が国の 入 管 法 における 永 住 の仕組み でございます , 自民党の 主張 は 間違って いると お認め になった 方がいい ですよ
 蓮 舫 君 もう一度 質問 してください , 新しく 設け る 要件 この 資格 で 十年 したら 永 住 権 を 申請 して 取得 できます かと 聞いているんです
お答えします , 質問に答えて いただけません か
まず は その 永 住 権 の要件 については 先ほども 言った とおりでございます , 審査 を経て 許可 が出る かどうかは 分かりません これは 法務大臣 の判断 ですから 審査 が あるわけですから
失礼いたしました , 再度 確認します
 特定 技能 を 二 号 を 取得 して すぐに 出 せる かというと それは ノー であります , どうして この 答弁を 聞く ために こんな に 長 々 と やり取り を しなきゃいけない のか 私 には ちょっと 委員長 全く 分からない んですが
委員 外 の方々 の発言 で 非常に 質問 が し にくい 妨 害 されております ので 委員長 ちょっと 注意 して いただけますか , 総理 自民党の 議員 を 見る んじゃなくて 私 を見て 答弁 して いただけません か
委員御指摘のように 優秀な 人材 を 我が国 に 引き 付ける ためには 外国 の方 を 我が国 で 働き 生活 する 方 として 迎 え 入れ 社会 の一員として その 生活 環境 を確保する ことが重要 でございます , その 仕組み が 全く 分からない から 先ほどから やり取り させていただいている んです
これは それは そのとおり なんです , 是非 今 おっしゃられた ことを 法案 審議 の 前に 明確に していただいて しっかりとした 充実 審議 を求め たいと思います
 東京オリンピック ・ パラリンピック に向かって まさに 当時 文部科学 副大臣 として しっかりと 担当 として 頑張って こられた 方 でございまして この 情 熱 を 再 来年 に 迫 った オリンピック パラリンピック の 成功 に 生か していただきたい と こう思っております , 櫻 田 大臣の ホームページ 五年間 調べ ました
なぜ 選ば れた か は 私は 分かりません が それは 総理が 適 材 適 所 と思って 選 んで いた だけ た と思って その 選 んで いただいた 人に 立 派 に 任務 を 果た す ように しっかりと 取り組んでいく つもり でございます , じゃ 基本的な ことから 教えてください
御指摘のとおり 基本方針 は オ リ パ ラ 特別措置法 第 十三条 に基づき 国として 大会 の 円滑な 準備 及び 運営 に関する 施策 の 総合 的かつ 集中 的な 推進 を図る ため 平成二十七年 十一月 に 閣議決定 をされております , 櫻 田 大臣 今 お 読み になられた のは 政府として の 基本方針 で 私が聞いているのは 東京オリンピック ・ パラリンピック の 組織 委員会 が 掲げて いる 三つの 基本 原則 です
 全ての 人が 自己 ベ スト を 目指 し 一人一人 が 互 い を 認め 合い そして 未来 に つ な げ よう この 三つの 基本 コン セ プ ト として 史 上 最も イ ノ ベ ー ティ ブ で 世界に ポ ジ ティ ブ な 改革 をもたらす 大会 とする であります , 全員 が 自己 ベ スト 多 様 性 と 調 和 未来 への 継承 これが 三つの コン セ プ ト になって 予算 付け されています
 スポーツ には 世界 と 未来 を考える 力 がある これが 基本 コン セ プ ト でございます , この ビジョン があって 三つの 基本方針 があって それに対して 関連 予算 が 作 られ 国 都 そして 組織 委員会の 支出 が 決まる んです
 検査 院 が 集計 した 八 千 十一 億円の 大 部分は 未来 の 行政 目的 のために 実施 している 事業 も 含まれている ところであります , 済みません じゃ ちょっと 会計検査院 検査 の 概要 を 教えてください
お答え申し上げます , 今 報告 あったように 本来 国は 千 五 百億円 だけ が 関連 予算 として いた ものが 八 千 十一 億 まで 膨 れている
これは 答弁は 先ほど と同じ になります が 検査 院 が 集計 した 八 千 十一 億円の 大 部分は 未来 の 行政 目的 のために 実施 している 事業 であります , いや じゃ この 八 千 十一 億 で 指摘 された 中で 国は 国の 関連 予算 は 幾ら だと思っています
 千五百 円 でございます , 会計検査院 報告 の 指摘 を踏まえた 調査結果 について オ リ パ ラ 事務局 が 出している 紙 は 大臣の 指示 で 出した ん ではない ですか
そう であります , そこに は 関連 事業 予算 は 千 五 百億円 と 書いて います か
それは 千七百 二十 五億円 であります , さっき の 千 五 百億円 は何 でした
 支出 額 千七百 二十 五億円 は 関係者 間で 合意 した スポーツ く じ 財源 等 大会 経費 千 五 百億円 に係る 支出 額 でありまして 日本 選手 の 競技 力 向上 大会 成功 に向けて 大会 経費 の ほかに 国が 実施する オ リ パ ラ 関係 予算 の 事業の 支出 額 などの 五年間 の 支出 額 でございます , 八 千 十一 億 分 のうち で 国の 関連 事業 は 千七百 二十 五億円 と している んですが これ 以外に 関連 事業 はありません ね
それは 本来 の 行政 目的 のために 実施 しておる 大会 に 直接 資 する 金額 を 算 出 することが 困難な 事業 あるいは 本来 の 行政 目的 のために 実施 しており 大会 と の 関連 性 が 比較的 低い 事業 であります , 大会 に資する ことが 困難 と 判断 した場合には 国の 関連 事業 として 整理 を していない という 御説明 でした
 入っております , 私が いただいた 紙 では 入って いません
 千五百 億円の 中に は 入って おりません が 千七百 二 十億円 には 入っております , 私が いただいた 紙 では 三十年 度 に 事業 が 終了 している から 入っていない という 整理 をいただきました
先ほど お答えしたとおり でございまして 日本 選手 の 競技 向上 には 千五百 の中に 入って おりません が 千七百 二十五 に入って います , 再度 これは じゃ 検討 させていただいて お互い 確認を また ほかの 委員会で やらせて いただきたいと思います
お答えいたします , いや 違います
その お尋ね の 内訳 について でありますけれども ス タ ジ ア ム 本 体 及び 周辺 工事 費 そして 設計 監 理 費 については 計 千五百 九 十億円 を 上限 とする 方針 が 示 されております , 会計検査院 に 確認します
お答え申し上げます , 今 お答え いただいたとおり 柴 山 大臣 千五百 八十 一億円 だけ じゃない んです
御指摘のとおり 千五百 九 十億円 を 上限 とする 見込み ということと そして 今 お話し になられた 既に それ以外の 余 剰 の 費用 が発生して いるということ の 食 い 違い は 承知をしております , 前 の整備 計画 の 失敗 に 固 執 する 余り 千五百 八十 一 九十 億円の 上限 は 守る と言いながら そこから こ ぼ れた お金 は ほかの 説明を 付け て 本 体 予算 とは 違う と言っている んですが 整備 費 で 見た ら 全部 一体 です
 御説明 いたします , 三 百十 一億 お金が 足り なくて もう既に 借り て しまった
 項目 としては 特定 金額 ということで 平成三十 五年 二〇 二 三年 までに 売 上げ の 一〇 % を 返 す という 予定 になっております , 今 借り た 三 百十 一億 を 返 す の も オリンピック が 終わった 三年 後 です
今 そこは 検証 中 でありますが 約 その ぐらい 不足 するということ になりまして トータル 七 百九十 億 辺 り を 見込んで いる ということでございます , 現段階で 二 千億 に 膨 ら んだ 新 国立競技場 そのうち の 千五百 九十 億 の 財源 が 七 百九十 四億円 足り なくて 借金 すること になりました
現在 の 計画 では 平成三十 六年 二〇 二 四年 までに 売 上げ の 五 % ということで 考えて やっております , つまり 今 足り なくて これから 借り ると される 四 百八十 億 を t o t o の 売 上げ が 変わらない 新たに 支出 がない という前提で も オリンピック が 終わって 十 三年 掛かる んです
私ども スポーツ く じ の 売り 方 も含めまして 鋭意 整理 しているところ ですが この 目標 に向かって しっかり やっていく という 決意 で おります , しっかり やっていく という 決意 を 示 されて も 困る んです
お答えをいたします , 今の段階で はまだ 整理 をしている から これから 費用 が 幾ら 掛かる か 分からない
 将来 的な 事業の スト ラ ク チャー でありますので 十分 今 御指摘 になられた 諸 要素 も含めて 意見 聴取 と 検討を 重ねて いく 必要がある かという ように思います し そこに は 様々な 民間事業者 の 現場 に基づく 建設 的な 提案 や 知見 を踏まえて 考えていく 必要がある と思っております , 民間 を活用する という んですけれども 国立競技場 の整備 費用 は J S C です
 レン ポ ウ さんの 言う とおり 検討して みたい と思っております , 蓮 舫 です
この 増税 の目的 について 理解を していただける と また 増税 をする 以上 必要な 歳出 削減 等に しっかりと 取り組んでいる かどうかということ も含めて 国民の皆様 の 納得 が必要 なんだろう と思っております , 私は 信頼 が 優先 される と思います
これは アンケート調査 の結果 自衛隊の 記念 日 で お話を させていただいて 一番 信頼 されている というところで 自衛隊 だった という話 をさせていただいて その 調査 による と 残念ながら 国会議員 が 信頼 されていない という 結果 になって いた ので 頑張って い き ましょう という趣旨 で お話を させていただいた ところでございます , まあ 財務省 内で 公文書 は 改ざん される その トップ の 首 は 飛ば さない 自衛隊の 海外 活動 日報 は 隠蔽 をする 総理の 腹 心 の 友 や 総理 夫 人の 知 人は 優遇 される 政府は 誰も 責任を 取 らない
 我々 消費税率 を 引き上げ て まいります が これは まさに 社会保障制度 を 持続可能な もの に していくということ もございます , 全く 賛同 いたします
今回 我々 国民の 信 を 問い 消費税の 使い 道 につきましては 財政 の 健全 化 そしてまた 子育て 世代 への 支援 の充実 子供たち への 投資 さらには 社会保障 の充実 と 半分 ずつ 使う という形 に させて もらった わけであります , この へ こ んだ 軽減税率 による 税収 一兆円 これ いろいろな 財源 集め て 手当て する んでしょう けど せ めて せ めて それは 借金 返済 に プラス に 上乗せ をして 将来 世代 の 負担を マイナス 一 ・ 四兆円 に していただきたいと思います が 総理 いかが でしょう
 軽減税率 の これは 一兆円 ですが の 分 につきましては 総合 合 算 制度 については これは 行 わない ということでございまして この 分 は 落ち ていく と , それと 全 世代 型 に 消費税の 恩 恵 還元 する んだと 言っています が 保育所 に 入り たい の に 待機児童 となって 家 で 育児 せざるを得ない 仕事 も 諦 め ざるを得ない この 方たち に 無償化 の 恩 恵 はありますか
まず 待機児童 解消 に向けて の三 十二 万人 分の 施設 につきましては 二年間 前倒し をして 整備 をするということ に いたしました , 違います
 消費税の 使い 道 につきましては 申し上げたように 一 ・ 七 兆円 分 につきまして 子育て 世代 に 大 胆 に 投資 をする という形 を取って おります , 家 で 育児 を せざるを得ない 人に 消費税増税 分の 還元 があります か
 消費税 は 直接 還元 する ものではありません , 幼児教育 無償化 の 還元 はありますか
 消費税 御案内のとおり 個々の 家庭 に 還元 するという 性格 よりも 先ほど申し上げましたように 一 ・ 七 兆円 等々 投 じ て 子育て 世代 の 教育 の支援 を行っていく そういう 過程 において 預 ける ことができない 現状 である 人 についても 施設 整備 さらには 無償化 と こういう 対策 を取る ことによって 預 け られる ような 環境 をつくる という意味で 還元 を してまいります , 全く 答えて いません
 時間がありませんので 済みません 最後 は 御要望 だけで 済 ま させて もらいたい と思いますけれども , 立憲民主党 ・ 民 友 会 の 蓮 舫 です
私ども といたしましては 検察 庁 等々 の いわゆる 第三者 的な いわゆる 見 識 見解 を受けて 最終的に 判断 をさせていただいた と思っております けれども 私ども といたしましては 私たち なり に 精 いっぱい の 客観的な ものを 作り 上げ られた と思っております , 改ざん や 廃棄 や 虚偽 が 疑われ る 答弁 を行った 財務省 の問題 を 財務省 が 調査 をして どうして 信頼 できる んでしょうか
私ども といたしましては 第三者 的なもの としては 検察 というのは 極めて 第三者 的なもの だと思っております , 先ほど 財務大臣 は 客 観 性 という言い方 を されておりました が この 報告書 には 調査 の 概要 ですか 手段 であるとか 調査 の 基本的 情報 や 中身 を 裏 付ける 基本的な 資料 さえ も 添付 されて いません が なぜ ですか
